,name,company,year,Price,kms_driven,fuel_type
0,HyundaiSantroXing,Hyundai,2007,80000,45000,Petrol
1,MahindraJeepCL550,Mahindra,2006,425000,40,Diesel
3,HyundaiGrandi10,Hyundai,2014,325000,28000,Petrol
4,FordEcoSportTitanium,Ford,2014,575000,36000,Diesel
6,FordFigo,Ford,2012,175000,41000,Diesel
7,HyundaiEon,Hyundai,2013,190000,25000,Petrol
8,FordEcoSportAmbiente,Ford,2016,830000,24530,Diesel
9,MarutiSuzukiAlto,Maruti,2015,250000,60000,Petrol
10,SkodaFabiaClassic,Skoda,2010,182000,60000,Petrol
11,MarutiSuzukiStingray,Maruti,2015,315000,30000,Petrol
12,HyundaiElitei20,Hyundai,2014,415000,32000,Petrol
13,MahindraScorpioSLE,Mahindra,2015,320000,48660,Diesel
14,HyundaiSantroXing,Hyundai,2007,80000,45000,Petrol
15,MahindraJeepCL550,Mahindra,2006,425000,40,Diesel
16,AudiA8,Audi,2017,1000000,4000,Petrol
17,AudiQ7,Audi,2014,500000,16934,Diesel
18,MahindraScorpioS10,Mahindra,2016,350000,43000,Diesel
19,MarutiSuzukiAlto,Maruti,2014,160000,35550,Petrol
20,MahindraScorpioS10,Mahindra,2016,350000,43000,Diesel
21,MahindraScorpioS10,Mahindra,2016,310000,39522,Diesel
22,MarutiSuzukiAlto,Maruti,2015,75000,39000,Petrol
23,Hyundaii20Sportz,Hyundai,2012,100000,55000,Petrol
24,Hyundaii20Sportz,Hyundai,2012,100000,55000,Petrol
25,Hyundaii20Sportz,Hyundai,2012,100000,55000,Petrol
26,MarutiSuzukiAlto,Maruti,2017,190000,72000,Petrol
27,MarutiSuzukiVitara,Maruti,2016,290000,15975,Diesel
28,MarutiSuzukiAlto,Maruti,2008,95000,70000,Petrol
29,MahindraBoleroDI,Mahindra,2017,180000,23452,Diesel
30,MarutiSuzukiSwift,Maruti,2014,385000,35522,Diesel
31,MahindraScorpioS10,Mahindra,2015,250000,48508,Diesel
32,MarutiSuzukiSwift,Maruti,2017,180000,15487,Petrol
33,MarutiSuzukiWagon,Maruti,2013,105000,39000,Petrol
34,MarutiSuzukiWagon,Maruti,2013,105000,39000,Petrol
35,ToyotaInnova2.0,Toyota,2012,650000,82000,Diesel
36,RenaultLodgy85,Renault,2018,689999,20000,Diesel
37,SkodaYetiAmbition,Skoda,2012,448000,68000,Diesel
38,MarutiSuzukiBaleno,Maruti,2017,549000,32000,Diesel
39,RenaultDuster110,Renault,2012,501000,38000,Diesel
40,RenaultDuster85,Renault,2013,489999,27000,Diesel
41,HondaCity1.5,Honda,2011,280000,33000,Petrol
42,MarutiSuzukiAlto,Maruti,2015,250000,60000,Petrol
43,MarutiSuzukiDzire,Maruti,2013,349999,46000,Diesel
44,HondaAmaze,Honda,2013,284999,46000,Diesel
45,HondaAmaze1.5,Honda,2015,345000,36000,Diesel
46,HondaCity,Honda,2015,499999,55000,Petrol
47,DatsunRediGO,Datsun,2017,235000,16000,Petrol
48,MarutiSuzukiSX4,Maruti,2010,249999,36000,Petrol
49,MitsubishiPajeroSport,Mitsubishi,2015,1475000,47000,Diesel
50,MahindraBoleroDI,Mahindra,2017,180000,23452,Diesel
51,MarutiSuzukiSwift,Maruti,2014,385000,35522,Diesel
52,MahindraScorpioS10,Mahindra,2015,250000,48508,Diesel
53,MarutiSuzukiSwift,Maruti,2017,180000,15487,Petrol
54,MarutiSuzukiWagon,Maruti,2013,105000,39000,Petrol
55,MarutiSuzukiWagon,Maruti,2013,105000,39000,Petrol
56,MahindraScorpioS10,Mahindra,2015,395000,35000,Diesel
57,MarutiSuzukiSwift,Maruti,2017,220000,30874,Petrol
58,HondaCityZX,Honda,2017,170000,15000,Diesel
59,MarutiSuzukiWagon,Maruti,2013,85000,29685,Petrol
60,FordFigo,Ford,2012,175000,41000,Diesel
61,HyundaiEon,Hyundai,2013,190000,25000,Petrol
62,TataIndigoeCS,Tata,2017,200000,130000,Diesel
63,FordEcoSportAmbiente,Ford,2016,830000,24530,Diesel
64,TataIndigoeCS,Tata,2017,200000,130000,Diesel
65,MahindraScorpioSLE,Mahindra,2012,570000,19000,Diesel
66,VolkswagenPoloHighline,Volkswagen,2014,315000,60000,Petrol
67,SkodaFabiaClassic,Skoda,2010,182000,60000,Petrol
68,MarutiSuzukiStingray,Maruti,2015,315000,30000,Petrol
70,ChevroletSparkLS,Chevrolet,2010,110000,41000,Petrol
71,RenaultDuster110PS,Renault,2012,501000,35000,Diesel
72,HondaCity,Honda,2015,448999,54000,Petrol
73,MiniCooperS,Mini,2013,1891111,13000,Petrol
74,DatsunRediGO,Datsun,2017,235000,16000,Petrol
75,SkodaFabia1.2L,Skoda,2011,159500,38200,Diesel
76,HondaAmaze,Honda,2015,344999,22000,Petrol
77,HondaAmaze,Honda,2015,344999,22000,Petrol
78,RenaultDuster,Renault,2014,449999,50000,Diesel
79,MiniCooperS,Mini,2013,1891111,13500,Petrol
80,MahindraScorpioS4,Mahindra,2015,865000,30000,Diesel
81,MahindraScorpioVLX,Mahindra,2014,699000,50000,Diesel
82,MahindraQuantoC8,Mahindra,2013,375000,20000,Diesel
